,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chopstick Length 180,19.55,27.24,28.76,31.19,21.91,27.62,29.46,26.35,26.69,30.22,27.81,23.46,23.64,27.85,20.62,25.35,28,23.49,27.77,18.48,23.01,22.66,23.24,22.82,17.94,26.67,28.98,21.48,14.47,28.29,27.97,24.9351612903226
Chopstick Length 210,23.53,26.39,30.9,26.05,23.27,29.17,30.93,17.55,32.55,28.87,26.53,25.26,25.65,29.39,23.26,24.77,25.42,23.65,32.22,18.86,21.75,23.07,22.3,27.04,22.24,24.87,30.85,21.15,16.47,29.05,26.99,25.4838709677419
Chopstick Length 240,21.34,29.94,32.95,29.4,22.32,28.36,28.49,22.24,36.15,30.62,26.53,27.95,31.49,30.24,24.8,26.43,29.35,21.15,29.18,21.6,25.39,22.26,24.85,24.56,16.35,22.96,25.82,19.46,23.6,33.1,27.13,26.3229032258065
Chopstick Length 270,24.4,25.88,27.97,24.54,22.66,28.94,30.72,16.7,30.27,26.29,22.33,24.85,24.33,24.5,22.67,22.28,23.8,25.36,29.5,20.19,20.14,21.09,24.78,24.74,22.73,21.08,25.7,19.79,16.82,31.15,27.84,24.3238709677419
Chopstick Length 300,22.5,23.1,28.26,25.55,16.71,27.88,31.07,23.44,28.82,27.77,24.54,24.55,27.78,26.14,23.44,26.44,27.47,24.94,29.68,24.33,25.42,24.64,22.78,26.5,18.71,22.86,25.09,19.72,17.05,30.91,25.92,24.968064516129
Chopstick Length 330,21.32,26.18,25.93,28.61,20.54,26.44,29.36,19.77,31.69,24.64,22.09,23.42,28.63,26.3,22.89,22.68,30.92,20.74,27.24,17.12,23.63,20.91,23.49,24.86,16.28,21.52,27.22,17.41,16.42,28.22,27.52,23.9996774193548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
